id, category, name, more_names
0, , afro, 
1, , big, 
2, , bob, 
3, , bob2, 
4, , bob3, 
5, , buzzcut, 
6, , clown, 
7, , clown2, 
8, , crazy, 
9, , crazy2, 
10, , crazy3, 
11, , frumpy, 
12, , halfshaved, 
13, , halfshaved2, 
14, , halfshaved3, 
15, , heart, 
16, , longcurly, 
17, , messy, 
18, , mohawk, 
19, , mohawk2, 
20, , mohawkthin, 
21, , peakspike, 
22, , peakspike2, 
23, , pigtails, 
24, , pigtails2, 
25, , pigtails3, 
26, , pixie, 
27, , shavedhead, 
28, , short, 
29, , short2, 
30, , side, 
31, , side2, 
32, , spiky, 
33, , straight, 
34, , straight2, 
35, , straight3, 
36, , stringy, 
37, , vampire, 
38, , vampire2, 
39, , wild, 
40, , wild2, 
41, , wild3, 
42, , wild4, 
43, , wild5, 
