color,     names

0xF5D7CD,  A1
0xEEC9C0,  A2
0xE2B6AF,  A3
0xD7A89C,  A4
0xCA958C,  A5
0xBD877B,  A6
0xAB756A,  A7
0x99675A,  A8
0x86574F,  A9
0x6F4940,  A10
0x593D37,  A11


0xF3D8CE,  B1
0xEDC8BE,  B2
0xE3B9AC,  B3
0xD5A99B,  B4
0xC89784,  B5
0xB88773,  B6
0xA77865,  B7
0x956759,  B8
0x815949,  B9
0x6F4B3E,  B10
0x583D32,  B11


0xF4DACD,  C1
0xEACDBB,  C2
0xDCB9A9,  C3
0xD0AA95,  C4
0xC69B81,  C5
0xB68A70,  C6
0xA4785F,  C7
0x946D51,  C8
0x7E5B44,  C9
0x6C4D3B,  C10
0x573E31,  C11


0xEFDCCC,  D1
0xE6CCB8,  D2
0xDDBBA3,  D3
0xCCA990,  D4
0xC39D7F,  D5
0xB28C6E,  D6
0xA17B5E,  D7
0x906B4E,  D8
0x7D5B43,  D9
0x674C38,  D10
0x543F2F,  D11


0xEFDBCA,  E1
0xE4CBB6,  E2
0xD8BCA0,  E3
0xCDAC8E,  E4
0xC19F7E,  E5
0xAE8C6C,  E6
0x9D7A5A,  E7
0x8D6E4D,  E8
0x7B5C40,  E9
0x664D36,  E10
0x52402D,  E11


0xEDDBCA,  F1
0xE1CCB6,  F2
0xD5BDA0,  F3
0xC8AC8B,  F4
0xBCA17B,  F5
0xAE8F6B,  F6
0x997E57,  F7
0x876E4B,  F8
0x776040,  F9
0x644F33,  F10
0x52402D,  F11
